component	percent
PC1	46.4206930844226
PC2	20.8707608613679
PC3	14.4105540937111
PC4	5.30021575391985
PC5	2.84655468661882
PC6	2.07755360867057
PC7	1.47587015421618
PC8	0.907025662287381
PC9	0.674041690369124
PC10	0.619200358323977
PC11	0.591716887799583
PC12	0.57376328848785
PC13	0.523264417653656
PC14	0.478442223615846
PC15	0.455426418488883
PC16	0.44749255247406
PC17	0.392292289579664
PC18	0.357133420032213
PC19	0.328036499915836
PC20	0.249962048044953
PC21	1.71868245183569e-28
