sample_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21
ZT0_rep_1	-52.6830505583145	-17.6813190922741	29.5863955014334	8.59598334547604	15.0044733054357	-5.39429766780983	-1.42202565940746	-3.87857412526229	3.6866957850129	-3.19598286887974	-2.59150082684218	1.59799012730448	1.67739062974558	2.31457880754048	-5.59218930635108	-3.74008755834378	9.98797014218921	-0.603615163753348	-2.78720847270692	0.531943815474172	-7.8088988590434e-14
ZT0_rep_2	-47.6842385254642	-20.3197766029939	26.1900284843024	6.74826730298912	12.1606159323096	1.90097883061592	-5.48064644916661	4.21830778898877	-0.491001217430838	1.70773941072936	-4.59124019950034	-1.9250923457005	1.96406431624604	-1.61517608046415	10.8930387722373	7.2667033396736	-1.77180441391681	2.57216778127119	-2.90796621138473	-0.198121173190181	-7.80889885904348e-14
ZT0_rep_3	-51.8973954918491	-22.1547786032565	29.709944208889	6.40245035045099	13.0874377552463	-4.91827904350249	3.61996337557016	1.16439976773322	-1.76376575997568	-0.177125188002119	7.4750471427636	0.837867097399197	-1.07228599223366	-1.41985801993209	-3.59009199939878	-2.60964562379915	-8.71089733367216	-1.45358545231443	6.4619598942656	-0.0167137471333049	-7.80889885904344e-14
ZT1_rep_1	-58.9136113788375	9.9739561377316	-30.2199848239019	11.9525179527977	-6.54088547256683	0.690338788204969	-1.33150835888549	7.45723889991185	-14.5584486134754	1.90859204109707	-4.65614711113574	-0.369589082808603	0.186981209237072	1.09801156555898	-6.17305512324995	2.46047296217262	0.90482667623657	-0.150533359371672	-0.351547455510388	-0.782241538706104	-7.80889885904338e-14
ZT1_rep_2	-55.7413303115277	14.3266045323554	-36.608815595825	16.226946530542	-6.10852986148323	0.419802009611441	-8.06876458591187	-13.974452658757	5.12256459461133	6.56456684877248	1.536632607509	-6.55941264656256	0.986475845251487	1.06041752073061	1.5468754684828	-1.92166862575485	-1.79494002600726	-0.905710851616764	0.415903662838319	0.566402397326836	-7.80889885904344e-14
ZT1_rep_3	-60.6788360434257	12.1404841759647	-36.610011162864	9.22440652119878	-9.38576897180539	-1.4513129818416	11.5618913011051	7.42331405303283	8.29388386593322	-7.39898231982761	2.70406041570755	6.38403514817829	-2.33940124790815	-1.84985718105892	3.97073176746792	-0.507896009977337	0.951907830477353	0.699544486309291	-0.310019169486321	0.241647796356576	-7.80889885904343e-14
ZT4_rep_1	-18.6896419972698	44.2029696797422	11.1789272974981	-24.7987117896268	3.12144275200328	2.32742512142007	12.79597790206	0.0433934252256177	-5.67333592745716	2.03390836955767	-0.997296161967778	-4.67013224387537	2.53636191748316	0.68494631975908	5.96277170177871	-8.5253871233115	1.1357204447841	-2.03708600051231	-0.821408971315081	0.693851494341196	-7.80889885904345e-14
ZT4_rep_2	-14.0510776364223	40.373210930478	6.72086774698909	-21.2474055694665	2.43695274589843	5.11511055069937	0.244536541362254	-8.50827901940401	-2.32380875733443	-3.23857488897196	7.458898335232	3.17695052982554	-1.76578404714664	4.99836434538925	-0.996967333462203	9.56045497275598	2.17134363715345	2.48960442870809	1.32966476325198	-1.45449817468705	-7.80889885904339e-14
ZT4_rep_3	-12.8880239354781	41.5906975267887	3.76146289543848	-22.2524091291301	3.44284685212604	10.356392274076	-13.7707096438388	5.61247228744855	7.23712718614901	0.502947784730808	-5.58392499466593	1.63081530796016	-1.74078362917075	-5.83558761377536	-5.43213842716904	-1.17133317861574	-3.19953707030168	-0.512550948384023	-0.392644222097823	0.734474742218178	-7.80889885904344e-14
ZT8_rep_1	44.6936685743622	32.5168930512307	18.6348202998933	13.1850552612624	-9.51081785772289	-9.79622679023385	-4.30887675383423	0.703434911709419	-1.86434048465918	2.21729638731154	5.08500236957388	2.63876775916739	7.83342120571688	-9.59714930876911	1.22972265047311	1.73306372002126	4.34629803493624	-2.15929424411335	2.41791633049302	0.188537222017048	-7.80889885904351e-14
ZT8_rep_2	42.2798845970848	29.2132513305784	23.0410949091939	15.8595651248691	-8.03133454849173	-6.2945750169586	-12.7143379303448	3.30266052311387	-1.99205789095987	-2.89149387203341	1.58310427716802	3.61808218036391	-5.04219103208743	8.96842886061527	3.25598715529837	-4.86876022414172	-2.67919963790239	-0.337678991506046	-2.71470493872614	0.731812871524554	-7.8088988590434e-14
ZT8_rep_3	42.7128911291574	31.5134371883759	22.616231764482	13.5417116163643	-3.5221639084485	-9.5607547789148	15.0218883062055	-0.0838586327489095	5.54655001037647	2.44022810042343	-7.15720903071181	-6.15837665954982	-2.75013793508104	1.33284762103009	-4.3818880848239	4.38906136744178	-2.32778966940451	2.83121961376225	0.168827762744159	-0.963342110827394	-7.80889885904343e-14
