leiden_res_1_00,pct_counts_mt,total_counts,doublet_score,predicted_doublet
0,6.7120943,6431.782,0.05453168360668297,0.0003333333333333333
1,8.197095,8760.94,0.05400120959010741,0.029545454545454545
2,33.895134,1708.3907,0.04307216998798547,0.006622516556291391
3,5.749687,11763.154,0.06443338439562218,0.0
4,25.033726,1658.9152,0.04233940201085568,0.001326259946949602
5,58.10407,1559.6002,0.05030814375263665,0.007566204287515763
6,0.4202577,14496.097,0.013471475009503657,0.0
7,27.427435,1769.1224,0.04314145157750309,0.0005367686527106817
8,7.265097,6983.8105,0.0544401102954079,0.004333694474539545
9,8.7244625,5279.9395,0.055572563774891955,0.0010471204188481676
10,9.456148,6119.4463,0.049450941835813736,0.041916167664670656
11,8.423468,4915.7495,0.04026695688138413,0.004357298474945534
12,7.817868,4549.285,0.04158671073916593,0.0
13,7.5454884,4605.1113,0.04703275867600673,0.007751937984496124
14,6.368577,24934.146,0.0628339615845405,0.012287334593572778
15,13.3885,16710.438,0.08189367780914625,0.0
16,9.75856,5682.4805,0.038546196545837366,0.026143790849673203
17,3.0208423,16988.48,0.32633551609455974,0.32432432432432434
18,2.7890947,11161.554,0.038467541242077845,0.029350104821802937
19,4.8699374,25879.967,0.2330565301961313,0.3770491803278688
20,8.153854,22577.916,0.1026102421300079,0.0
21,10.255632,17855.895,0.0816328390040444,0.0020408163265306124
22,8.683857,10144.277,0.07518510082418957,0.013888888888888888
23,1.1093036,14367.853,0.03303088380189148,0.0
24,0.123868026,6554.4365,0.05528625026514251,0.014084507042253521
