leiden_res_2_00,pct_counts_mt,total_counts,doublet_score,predicted_doublet
0,6.529102,6167.208,0.05991219913634341,0.0
1,8.896209,9274.395,0.0845118421518707,0.08266666666666667
2,33.879227,1695.8893,0.04414654186441021,0.00949367088607595
3,5.749687,11763.154,0.06443338439562218,0.0
4,25.173141,1664.4056,0.043054135854095885,0.0012836970474967907
5,0.4705353,15068.836,0.013647398886057503,0.0
6,27.605297,1729.0845,0.0382780212233936,0.0012610340479192938
7,27.082792,1766.865,0.04627351453207991,0.0
8,67.08016,972.5455,0.05583099362793213,0.009671179883945842
9,7.411126,6845.7134,0.05360484131972486,0.0045871559633027525
10,7.312396,7023.8013,0.05153367557540394,0.0
11,41.1882,2369.7034,0.034964136476376466,0.0033333333333333335
12,9.598728,6213.324,0.0545799513674508,0.05225225225225225
13,8.405133,4903.539,0.040110156490382014,0.004347826086956522
14,7.9260373,4524.9634,0.041194398117032426,0.0
15,7.7545986,4567.934,0.04724008891108302,0.007614213197969543
16,8.933941,5902.3486,0.03121775199656395,0.0
17,6.2550306,6233.263,0.05804888504428992,0.0012195121951219512
18,8.673903,5957.3125,0.06908122451906312,0.0
19,9.0507765,23444.604,0.06769951230498368,0.01073345259391771
20,13.287665,16833.717,0.08173971641935998,0.0
21,7.7251053,8400.305,0.033479936966028793,0.0
22,8.29597,9018.413,0.05820654467907763,0.020316027088036117
23,9.498817,5382.3135,0.026347074167001935,0.010484927916120577
24,8.764239,4671.804,0.040834429661770213,0.002197802197802198
25,3.0208423,16988.48,0.32633551609455974,0.32432432432432434
26,0.26215985,12058.309,0.018895653832811537,0.0019646365422396855
27,2.7890947,11161.554,0.038467541242077845,0.029350104821802937
28,4.8699374,25879.967,0.2330565301961313,0.3770491803278688
29,8.153854,22577.916,0.1026102421300079,0.0
30,3.3638701,26602.797,0.05738337470532658,0.014028056112224449
31,12.094841,17797.596,0.07972022841150472,0.002369668246445498
32,6.472464,5236.924,0.029709308027893525,0.0
33,9.2136545,7146.7305,0.053260635045470274,0.008695652173913044
34,7.446267,16020.977,0.09431521942784653,0.0
35,1.1093036,14367.853,0.03303088380189148,0.0
36,7.7918396,8945.393,0.2682318902612254,0.4642857142857143
