leiden_res_0_50,pct_counts_mt,total_counts,doublet_score,predicted_doublet
0,6.842671,6580.99,0.05478366388840659,0.0012671059300557526
1,33.30146,1606.3947,0.04513459856015292,0.002257336343115124
2,8.412451,5090.0117,0.05144881018437574,0.0007936507936507937
3,8.216884,9915.024,0.05883887672518489,0.026472534745201854
4,17.03272,4737.22,0.04759067068893832,0.03172978505629478
5,5.749687,11763.154,0.06443338439562218,0.0
6,11.437774,17387.79,0.08251396435975263,0.00199203187250996
7,0.40882957,14168.026,0.015388587833767592,0.0005899705014749262
8,41.17321,2376.5671,0.0349299645774702,0.003355704697986577
9,7.492469,4613.406,0.04712728267087018,0.007853403141361256
10,8.431416,4926.334,0.0404077937826341,0.004366812227074236
11,6.354512,24956.758,0.06280112683828179,0.01229895931882687
12,13.539943,16571.537,0.08166515374372296,0.0
13,9.673843,5700.536,0.03830731959688443,0.02516411378555799
14,3.0254705,13729.573,0.1176063789822657,0.12408759124087591
15,1.1412351,14208.123,0.03406629689371656,0.0
