cell_type_res_0.50_lvl1,B cells,B-cell lineage,DC,Erythroid,HSC/MPP,ILC,Monocytes,Plasma cells,T cells,pDC
B_cells,1982,291,0,0,0,0,0,106,0,0
Erythroid,41,0,0,3400,0,0,61,0,0,0
Myeloid,0,0,112,0,0,0,1697,0,0,84
Progenitor_uncertain,0,264,0,0,190,0,21,0,0,27
T_NK_ILCs,0,0,0,0,1,454,0,1,5208,0
Uncertain,9,9,0,1,0,504,11,1,2566,0
