,celltypist_conf_score_coarse,celltypist_conf_score_coarse,celltypist_conf_score_coarse,celltypist_conf_score_fine,celltypist_conf_score_fine,celltypist_conf_score_fine
,median,mean,min,median,mean,min
leiden_res_0_50,,,,,,
0,0.9999973041375378,0.9962632233766704,1.1299932844156641e-05,0.9748927713802575,0.7747910355974734,2.9833885176130505e-06
1,0.986584207597305,0.7292584230143748,5.150946851785329e-07,0.5230592684692257,0.512463697962479,4.395821198793629e-07
2,0.9999575000263532,0.969988732326962,2.2119094708710153e-05,0.9668457143022423,0.7332640932629971,4.929432446128079e-06
3,0.9999709308487915,0.936817041137887,0.00022382369333809752,0.9996593013887773,0.9143392390098001,0.00025259077525090765
4,0.9999988863570065,0.9737210883692913,1.3951517115599547e-05,0.9950085695183531,0.7532132244478135,5.3271679848690024e-08
5,0.9999998280944031,0.9998641351182369,0.9901352973021352,0.9999997360486227,0.9998332092321718,0.9895396603089153
6,0.9894706973589698,0.7351361105735195,6.897307765274854e-08,0.923481567084195,0.569737522669012,1.0582312250820008e-08
7,0.9880997002736334,0.9610864870962861,0.2753778321134427,0.9847751933919373,0.9405611754065982,0.00842901013055833
8,0.718412351335503,0.5682709227035564,1.652448376950044e-05,0.11902025959534371,0.3214544741997384,1.4667315199437674e-05
9,0.9984955011475898,0.855015126451723,8.477187006067056e-05,0.9483542078291742,0.700703090622858,5.932266572404843e-06
10,0.9999855701531918,0.9805188997881292,1.0139258337957827e-06,0.9998004532152679,0.8662104728406691,5.838487220901953e-07
11,0.9984774064481028,0.9406329442335205,0.006130252693686738,0.9900333331862292,0.8473523084285384,8.270246298204057e-05
12,0.9999272172084275,0.9338282485855889,3.567060531241493e-05,0.996142537489405,0.7716522436031907,3.649890897130305e-11
13,0.9999998208985419,0.997810104543532,0.2783278199544091,0.9993178560857121,0.8998228036168057,4.6105501328136224e-05
14,0.9737353825886709,0.8152548474220734,6.153567059847508e-05,0.7184742980839687,0.5852234373265265,6.406768027791245e-06
15,0.9943908303459039,0.9816106738600587,0.8381811092543404,0.9952798812285457,0.9647448947681672,0.10612128498274061
