ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0046031	ADP metabolic process	44	0.605624839799622	1.86549977100202	0.000565379027152244	0.0169613708145673	0.014980684420103	1721	tags=30%, list=11%, signal=26%	AT4G26530/AT5G08570/AT5G56630/AT2G19860/AT3G52990/AT1G16300/AT1G13440/AT3G04120/AT3G55440/AT1G79550/AT1G32440/AT4G24620/AT4G29130
GO:0046032	ADP catabolic process	44	0.605624839799622	1.86549977100202	0.000565379027152244	0.0169613708145673	0.014980684420103	1721	tags=30%, list=11%, signal=26%	AT4G26530/AT5G08570/AT5G56630/AT2G19860/AT3G52990/AT1G16300/AT1G13440/AT3G04120/AT3G55440/AT1G79550/AT1G32440/AT4G24620/AT4G29130
GO:0019364	pyridine nucleotide catabolic process	45	0.600884347015563	1.86473577406514	0.000532813578378641	0.0169613708145673	0.014980684420103	1721	tags=29%, list=11%, signal=26%	AT4G26530/AT5G08570/AT5G56630/AT2G19860/AT3G52990/AT1G16300/AT1G13440/AT3G04120/AT3G55440/AT1G79550/AT1G32440/AT4G24620/AT4G29130
GO:0046434	organophosphate catabolic process	81	0.508764863336446	1.74657869163422	0.00052913334491276	0.0169613708145673	0.014980684420103	2288	tags=28%, list=15%, signal=24%	AT4G26530/AT1G14250/AT5G08570/AT5G56630/AT2G19860/AT3G52990/AT1G16300/AT4G35790/AT1G13440/AT3G03520/AT3G46940/AT3G15730/AT3G04120/AT3G05630/AT3G55440/AT1G79550/AT1G32440/AT4G24620/AT3G17940/AT4G29130/AT1G68760/AT5G45940/AT5G26667
GO:0072526	pyridine-containing compound catabolic process	46	0.591362800164503	1.85425099301431	0.000589192437378942	0.0174038381502703	0.0153714820504854	1721	tags=28%, list=11%, signal=25%	AT4G26530/AT5G08570/AT5G56630/AT2G19860/AT3G52990/AT1G16300/AT1G13440/AT3G04120/AT3G55440/AT1G79550/AT1G32440/AT4G24620/AT4G29130
GO:1901292	nucleoside phosphate catabolic process	64	0.529674637748508	1.73303539877617	0.000601809898123982	0.017507197036334	0.0154627710666306	2288	tags=28%, list=15%, signal=24%	AT4G26530/AT1G14250/AT5G08570/AT5G56630/AT2G19860/AT3G52990/AT1G16300/AT1G13440/AT3G46940/AT3G04120/AT3G55440/AT1G79550/AT1G32440/AT4G24620/AT4G29130/AT1G68760/AT5G45940/AT5G26667
GO:0009251	glucan catabolic process	35	0.632668271838469	1.87518093279217	0.000654342174187632	0.0187512981259739	0.0165615906145526	809	tags=34%, list=5%, signal=33%	AT2G40840/AT3G46970/AT3G29320/AT3G52180/AT4G09020/AT1G43670/AT1G10760/AT3G10940/AT1G69830/AT4G15210/AT5G64860/AT3G01510
GO:0009648	photoperiodism	145	-0.398094202043077	-1.60736488988045	0.000729580271341902	0.0205999135437714	0.0181943315345481	722	tags=23%, list=5%, signal=23%	AT5G64930/AT4G39100/AT2G25930/AT5G55040/AT1G77180/AT1G27650/AT5G37770/AT1G35460/AT5G47640/AT5G19350/AT5G54930/AT5G40490/AT1G69935/AT1G66750/AT1G18450/AT4G30200/AT4G37280/AT4G02440/AT4G35090/AT5G23280/AT5G56550/AT3G15620/AT5G15850/AT4G26150/AT3G22420/AT1G03457/AT1G26220/AT2G47700/AT3G02380/AT3G07650/AT4G03110/AT3G09600/AT2G46830/AT1G01060
GO:0016053	organic acid biosynthetic process	372	0.353961233477943	1.48010628196037	0.000769217134445616	0.0210985271162226	0.0186347188510058	2039	tags=21%, list=13%, signal=19%	AT1G13930/AT3G25770/AT2G39800/AT3G03780/AT5G28030/AT2G31360/AT3G58990/AT4G39980/AT1G79460/AT3G02870/AT3G22200/AT5G23010/AT1G20510/AT5G60890/AT2G41090/AT5G14200/AT5G63980/AT4G36830/AT2G20610/AT1G17420/AT5G65640/AT4G39950/AT2G04400/AT4G32980/AT3G02020/AT3G25760/AT3G45140/AT3G23820/AT1G19640/AT2G43100/AT1G49820/AT3G44310/AT4G25420/AT5G61780/AT1G31230/AT1G55020/AT1G13280/AT4G13840/AT2G38010/AT4G37770/AT5G54810/AT5G37600/AT3G54640/AT1G17745/AT5G51830/AT4G29010/AT5G17920/AT1G09240/AT5G17990/AT3G20390/AT5G04950/AT3G29360/AT5G22070/AT4G31500/AT2G22810/AT2G06050/AT2G29690/AT5G42650/AT3G59760/AT3G06470/AT4G27070/AT5G52810/AT4G17830/AT1G07780/AT1G32440/AT1G16060/AT2G39770/AT5G05590/AT2G33380/AT5G55120/AT4G14070/AT2G18750/AT3G23840/AT2G22330/AT4G34200/AT1G76690/AT4G24830/AT1G56430
GO:0046394	carboxylic acid biosynthetic process	372	0.353961233477943	1.48010628196037	0.000769217134445616	0.0210985271162226	0.0186347188510058	2039	tags=21%, list=13%, signal=19%	AT1G13930/AT3G25770/AT2G39800/AT3G03780/AT5G28030/AT2G31360/AT3G58990/AT4G39980/AT1G79460/AT3G02870/AT3G22200/AT5G23010/AT1G20510/AT5G60890/AT2G41090/AT5G14200/AT5G63980/AT4G36830/AT2G20610/AT1G17420/AT5G65640/AT4G39950/AT2G04400/AT4G32980/AT3G02020/AT3G25760/AT3G45140/AT3G23820/AT1G19640/AT2G43100/AT1G49820/AT3G44310/AT4G25420/AT5G61780/AT1G31230/AT1G55020/AT1G13280/AT4G13840/AT2G38010/AT4G37770/AT5G54810/AT5G37600/AT3G54640/AT1G17745/AT5G51830/AT4G29010/AT5G17920/AT1G09240/AT5G17990/AT3G20390/AT5G04950/AT3G29360/AT5G22070/AT4G31500/AT2G22810/AT2G06050/AT2G29690/AT5G42650/AT3G59760/AT3G06470/AT4G27070/AT5G52810/AT4G17830/AT1G07780/AT1G32440/AT1G16060/AT2G39770/AT5G05590/AT2G33380/AT5G55120/AT4G14070/AT2G18750/AT3G23840/AT2G22330/AT4G34200/AT1G76690/AT4G24830/AT1G56430
