group,names,scores,logfoldchanges,pvals,pvals_adj
B_cells,LYN,29.217438,2.3678975,1.1645533161430492e-187,2.902339418859916e-185
B_cells,CD83,29.117937,3.1199148,2.1283534671263694e-186,5.248519649933627e-184
B_cells,IGLC1,28.983028,3.8893762,1.0768049099331595e-184,2.6277404817712634e-182
B_cells,BACH2,28.957571,3.0755053,2.2532264760038542e-184,5.386360882994111e-182
B_cells,TPD52,28.902782,3.1693125,1.1015692142461532e-183,2.606713331529761e-181
B_cells,CD69,28.863733,1.5171233,3.407410025761922e-183,7.982539467352455e-181
B_cells,TMEM243,28.616987,1.9268878,4.130242024056432e-180,9.580116821541587e-178
B_cells,PCDH9,28.616037,5.492896,4.244078934115774e-180,9.747650704855905e-178
B_cells,ERP29,28.552368,1.302318,2.6250418867981288e-179,5.913159257886516e-177
B_cells,RPL18,28.536417,1.2909538,4.1411332486063026e-179,9.239459868104748e-177
B_cells,ISG20,28.534367,1.5159607,4.391105485654537e-179,9.704757378531022e-177
B_cells,POLD4,28.338322,1.8047011,1.1658702395970849e-176,2.528966861392677e-174
B_cells,RPS27,28.3265,1.5479511,1.6304510625349e-176,3.5042731231197336e-174
B_cells,GAPT,28.130571,3.1449847,4.142916448670801e-174,8.823282149364622e-172
B_cells,ZFAS1,28.068422,1.1197745,2.380541554878039e-173,5.024229460011514e-171
B_cells,PTPN6,28.037981,1.7523803,5.59800379770665e-173,1.1709324550792294e-170
B_cells,PRKCB,27.981295,1.7395427,2.744601257684513e-172,5.6900684658208036e-170
B_cells,ORAI2,27.921494,2.8397913,1.4632804813829028e-171,2.9808932032484575e-169
B_cells,LAT2,27.743351,2.5891416,2.095968025465272e-169,4.232951976946115e-167
B_cells,RPS8,27.692263,1.355055,8.653414226648985e-169,1.7326797870744083e-166
B_cells,AC025164.1,27.670837,2.047971,1.5670774726445572e-168,3.111179995902037e-166
B_cells,ZCCHC7,27.667242,2.3762617,1.7311524515745708e-168,3.408042729667014e-166
B_cells,RPL8,27.620829,1.122644,6.255927770824987e-168,1.2213134990593084e-165
B_cells,SMIM14,27.471321,3.0376053,3.8656841275193125e-166,7.484411740115285e-164
B_cells,SP100,27.319126,1.4533015,2.5141042179536734e-164,4.82769832081973e-162
B_cells,EBF1,27.313532,4.6827483,2.929875659421851e-164,5.580341225469569e-162
B_cells,RPL10,27.302586,1.4651743,3.9521030275316705e-164,7.466606260160037e-162
B_cells,HERPUD1,27.228388,1.567886,2.996359286448081e-163,5.615656720289536e-161
B_cells,KLF2,27.127537,1.2276229,4.66217950253022e-162,8.668323746490116e-160
B_cells,RPL12,27.069054,1.1991874,2.279179926520589e-161,4.2042793809919554e-159
B_cells,NOP53,27.068428,1.1244315,2.3181680974538586e-161,4.2427909389884015e-159
B_cells,LSM7,26.773275,1.3220636,6.617370927273883e-158,1.1925011439480404e-155
B_cells,IKZF3,26.574755,1.6837907,1.3294024884388498e-155,2.3773978699738117e-153
B_cells,KIAA0040,26.559244,2.4839067,2.0085103360699783e-155,3.5646493669023773e-153
B_cells,FOXP1,26.522467,1.1789365,5.3381859166403155e-155,9.40283319316787e-153
B_cells,RPL23A,26.417732,1.2921975,8.572386536918123e-154,1.4986962641819468e-151
B_cells,ATP6V1G1,26.387817,1.1905154,1.890664854389166e-153,3.2809337439833325e-151
B_cells,RPL10A,26.281961,1.2808657,3.083510620264458e-152,5.272803160652223e-150
B_cells,MARCKSL1,26.193575,1.7507204,3.145218712251334e-151,5.339350635645797e-149
B_cells,RPL26,25.850786,1.305641,2.3840906273343266e-147,4.0181360522705946e-145
B_cells,RPSA,25.798353,1.1739105,9.252598530276448e-147,1.5482901840627595e-144
B_cells,RPL23,25.728203,1.124503,5.653682830616682e-146,9.39353387750759e-144
B_cells,SYPL1,25.365143,2.1618514,6.1175054391009224e-142,9.952416661237313e-140
B_cells,RPL7A,25.146336,1.1727962,1.549868428885129e-139,2.453295113749454e-137
B_cells,RPL11,25.124277,1.2484366,2.7005761881751905e-139,4.2460670040523615e-137
B_cells,PLEKHF2,25.091154,2.594033,6.211779895595483e-139,9.701557840941025e-137
B_cells,FAM30A,25.084478,3.796269,7.346087906603139e-139,1.1397139164767664e-136
B_cells,RPS19,25.052267,1.2520458,1.6493122593017846e-138,2.5420025196488753e-136
B_cells,H3F3B,24.984482,0.98098385,9.015579726008226e-138,1.3804443545176123e-135
B_cells,PNISR,24.968662,1.009083,1.3392158741473025e-137,2.0372604080291465e-135
B_cells,RPL29,24.936348,1.1289287,3.0032990426810506e-137,4.5392443014767077e-135
B_cells,REL,24.917128,1.8010541,4.852846372740665e-137,7.287668716294588e-135
B_cells,MT-ND3,24.904558,0.99084073,6.640601157522193e-137,9.908876644412254e-135
B_cells,QRSL1,24.8647,3.2705848,1.793329066488829e-136,2.6590075975084686e-134
B_cells,IGLC3,24.749048,3.88529,3.174248091514483e-135,4.647694377494362e-133
B_cells,EZR,24.606115,1.6537427,1.0864855822556928e-133,1.5809377475468393e-131
B_cells,SP110,24.571218,1.6898388,2.5661433979838883e-133,3.710928480528923e-131
B_cells,RPS9,24.537952,1.1351945,5.815864037499122e-133,8.358788147637542e-131
B_cells,H3F3A,24.43969,0.8360731,6.477511822126176e-132,9.25296764981402e-130
B_cells,CD19,24.429281,5.5575914,8.356936873923413e-132,1.186533091790326e-129
B_cells,RPS7,24.41394,1.1040586,1.216277455169158e-131,1.716489876039028e-129
B_cells,RIPOR2,24.34447,1.082073,6.634449713689489e-131,9.306901403748723e-129
B_cells,RPL37,24.234903,1.2632787,9.5399573036001e-130,1.3303129747109498e-127
B_cells,MZB1,24.225609,3.047554,1.1954218856255583e-129,1.6571093795591689e-127
B_cells,SMAP2,24.15402,1.3431371,6.774497486144226e-129,9.28106155601759e-127
B_cells,PHACTR1,24.141886,3.1897163,9.085627245913802e-129,1.237494124941992e-126
B_cells,MTSS1,24.016348,3.1164405,1.8768444490730174e-127,2.526944534967447e-125
B_cells,RPL41,23.974314,1.1444038,5.154898176401178e-127,6.861579521508546e-125
B_cells,TMSB10,23.86778,1.2715845,6.620506669750484e-126,8.762633319335852e-124
B_cells,CD53,23.844687,1.2044343,1.1496701953504963e-125,1.5131080711503414e-123
B_cells,BASP1,23.721502,2.5536094,2.1636034669378895e-124,2.831661364243237e-122
B_cells,RPS16,23.625828,1.1649017,2.0921388263910063e-123,2.7229186825478945e-121
B_cells,BTK,23.614216,2.9934099,2.7537238676017736e-123,3.5641706655418093e-121
B_cells,SYK,23.56523,2.2553759,8.76338613817505e-123,1.1280211376869608e-120
B_cells,RPS26,23.51869,1.0289013,2.6263870506105695e-122,3.3622059800357276e-120
B_cells,RPL21,23.506773,1.0052,3.4775001182783224e-122,4.427575829940558e-120
B_cells,EEF2,23.489334,0.89588255,5.242662486177181e-122,6.638911030468802e-120
B_cells,EEF1D,23.387135,0.9078836,5.777590187278446e-121,7.238053760287282e-119
B_cells,SF1,23.384743,0.93471295,6.110433810749665e-121,7.61431557895917e-119
B_cells,MBD4,23.280931,1.8127602,6.917606875766776e-120,8.529409277820435e-118
B_cells,ADAM28,23.255299,4.538957,1.2573654236723374e-119,1.5422146481870076e-117
B_cells,RPL19,23.208141,1.2233268,3.7680925615552144e-119,4.5976616895601044e-117
B_cells,RPL27,23.185823,1.072848,6.329712990030924e-119,7.68322208380593e-117
B_cells,YWHAZ,23.181984,0.9732354,6.920107677623649e-119,8.356565080602537e-117
