names,scores,logfoldchanges,pvals,pvals_adj
DLGAP4,1.1878111,0.3324145,0.23490784536843135,0.8946815303928208
HADH,1.1876638,0.39122656,0.23496589906043286,0.8947571712107869
DDX11,1.1864591,0.8151933,0.23544107662163904,0.8962752846953426
RAD51,1.1846651,2.6005151,0.2361499151664348,0.8982517961325368
TSC2,1.1846597,0.43391046,0.2361519960891405,0.8982517961325368
PSPC1,1.1817031,0.24584594,0.2373235271177403,0.9013080962323871
TIMM10,1.181661,0.16807278,0.2373402333059118,0.9013080962323871
IPO9,1.1806089,0.50476557,0.23775815807572898,0.9027488442852679
CEP63,1.1797144,0.31061757,0.2381138025648032,0.9033922174051505
GUCY2C,1.1796198,8.714615,0.23815148101875827,0.9033922174051505
MYBPC2,1.1795882,7.548624,0.238164041438777,0.9033922174051505
LINC02202,1.179504,6.9098577,0.2381975381786663,0.9033922174051505
TEX10,1.178215,0.6217994,0.23871087244376132,0.9050460606473533
RASSF6,1.1780362,3.0606945,0.2387821723071425,0.9051698949254736
WIPF2,1.1773155,0.34714782,0.2390696210777804,0.9059663560318928
MICB,1.1770892,0.57561564,0.2391598925366133,0.9061618635703121
LHFPL2,1.1767735,4.3386765,0.23928589288874513,0.9064926605279159
STARD5,1.1766263,1.0687568,0.23934470907307548,0.9065688762255358
RBM42,1.1761107,0.21964173,0.23955064600884546,0.9071351936196143
CAAP1,1.176058,0.25895348,0.2395716670049325,0.9071351936196143
TRAPPC11,1.1753057,0.6183923,0.2398724095446475,0.9078543234334386
ARHGAP5,1.1750532,0.34110624,0.23997341772271075,0.907922683622407
TRUB2,1.1747692,0.35818598,0.24008708775481746,0.908206072151156
ELP5,1.1745534,0.24428296,0.24017341811981474,0.9083859648519375
LARP1B,1.1738012,0.3755665,0.2404746927952519,0.9092318638015441
LINC01409,1.1734539,0.57286716,0.24061383241312784,0.909464383985535
GNB2,1.172728,0.11476581,0.2409049439466152,0.9102789616745948
ZNF70,1.1727226,1.8402426,0.24090705435533732,0.9102789616745948
DNAJC24,1.1725174,0.35238427,0.24098937045173896,0.9104431513583113
SMAGP,1.1715863,0.39826113,0.24136320782544674,0.911561481497137
BTBD2,1.1712759,0.3851622,0.24148791095923638,0.9117384834878373
MGAT2,1.1710864,0.29924902,0.24156402328207927,0.9118788871139657
IL15,1.1698817,1.2724667,0.24204857754867992,0.913560822657149
TRIM28,1.1686454,0.18269578,0.24254653808296656,0.9152928072921485
MXD3,1.1682087,1.2146717,0.24272258554526172,0.9158096330437827
EIF2S3,1.1676826,0.10874315,0.24293481023067665,0.9164627696093497
AHI1,1.1672722,0.4620449,0.2431004360167046,0.9169399315027111
IGLV1-40,1.1669881,5.9563193,0.24321514650682374,0.9172249255015068
GADD45G,1.1655835,0.70636874,0.2437828852016729,0.918922228740079
HDHD2,1.1647943,0.30695885,0.24410224762952604,0.9198300394429639
TRPC4AP,1.1643314,0.32777038,0.24428974360600053,0.9203885209806649
AP001816.1,1.1641104,0.97650546,0.2443792659606453,0.920498565247611
AL355347.1,1.163558,2.8692532,0.2446031726075112,0.9208289449905455
AC009494.2,1.162127,23.716484,0.24518386700574613,0.9222350566298163
HGS,1.161985,0.38443893,0.24524156218833482,0.9222350566298163
ERLIN2,1.16118,0.55793685,0.24556868146029975,0.9231286104894805
CHKA,1.1608329,1.0927784,0.24570988616690992,0.9233630900276225
NRSN2-AS1,1.1600121,1.6722574,0.24604386905227738,0.9244698829651488
KCNIP2,1.159686,4.737175,0.2461766941747816,0.9248091753314069
SAG,1.1590599,2.871039,0.24643177351072298,0.9254820708617677
GBGT1,1.1559507,3.2842448,0.2477013400652337,0.9296538439135261
