names,scores,logfoldchanges,pvals,pvals_adj
CD74,66.80987,5.0250444,0.0,0.0
HLA-DRA,65.238335,6.674324,0.0,0.0
IGHM,61.09683,7.5123625,0.0,0.0
CD79A,60.856087,6.936289,0.0,0.0
HLA-DRB1,59.92989,4.750025,0.0,0.0
CD79B,59.341927,5.3768125,0.0,0.0
HLA-DPB1,57.894424,4.0103526,0.0,0.0
HLA-DQB1,57.41448,4.7673683,0.0,0.0
HLA-DPA1,55.62254,4.2511897,0.0,0.0
MS4A1,55.40625,7.396682,0.0,0.0
HLA-DQA1,55.226315,6.369999,0.0,0.0
CD37,55.078896,2.3896027,0.0,0.0
RALGPS2,51.537247,5.689199,0.0,0.0
AFF3,50.914864,5.71832,0.0,0.0
IGHD,50.391865,8.307575,0.0,0.0
MEF2C,49.408844,7.256849,0.0,0.0
TCL1A,48.81674,8.046627,0.0,0.0
HLA-DMA,48.27983,4.4814515,0.0,0.0
BANK1,47.28247,8.141955,0.0,0.0
VPREB3,47.136745,7.8141184,0.0,0.0
HLA-DRB5,46.48253,4.708831,0.0,0.0
IGKC,44.974995,4.7282724,0.0,0.0
HLA-DMB,44.496876,5.423556,0.0,0.0
LINC00926,44.429573,7.2964926,0.0,0.0
TNFRSF13C,43.65494,5.5364633,0.0,0.0
PAX5,42.315273,7.462219,0.0,0.0
NCF1,41.83179,2.686624,0.0,0.0
TCF4,41.54248,6.6332245,0.0,0.0
CD22,39.87121,7.532691,0.0,0.0
FCRL1,39.319256,7.827429,0.0,0.0
BCL11A,39.20062,6.8352933,0.0,0.0
HVCN1,38.983788,5.228623,0.0,0.0
STX7,38.368855,3.7794275,0.0,0.0
NIBAN3,37.875988,7.0879126,0.0,0.0
SNX2,37.575356,2.8227162,5.43159781798169e-309,1.610709393441229e-306
SWAP70,37.079548,5.5627,6.0021771155914764e-301,1.694132569722428e-298
EAF2,36.312252,4.6472263,1.0366896014013278e-288,2.857238504944577e-286
SPIB,36.234024,7.2606797,1.7737211271452262e-287,4.831740098329211e-285
YBX3,35.65443,3.3737082,2.0118084995229695e-278,5.2955772717218656e-276
CXXC5,35.23023,3.5226693,6.890863563291028e-272,1.7739808867826253e-269
IGLC2,34.96221,4.8261876,8.446794144891026e-268,2.1509026786126313e-265
CD24,34.22034,6.640465,1.2049268256543242e-256,2.9713495520635634e-254
MT-ND3,34.16872,0.6883493,7.050292587098863e-256,1.7204917128954694e-253
POU2F2,33.141495,2.629082,7.509294166470598e-241,1.67543080417054e-238
FCER2,33.065037,7.6110783,9.457994379077943e-240,2.0903059841382922e-237
GNG7,32.595875,4.929351,4.691981691401762e-233,9.99264137131537e-231
LYN,32.58691,4.0859895,6.285851784827182e-233,1.3266545023706881e-230
PLPP5,32.181923,4.0878663,3.16014634645591e-227,6.382133487795052e-225
BIRC3,31.916506,2.2007136,1.5760380149284352e-223,3.1026758466998697e-221
CALHM6,31.455935,3.8560088,3.4822601576894253e-217,6.578944251144369e-215
MARCH1,31.375042,6.449701,4.432432869518789e-216,8.24115911382672e-214
BCL7A,31.315172,4.510986,2.900536829887922e-215,5.350462701872783e-213
LAPTM5,30.984137,1.1299822,8.818189342390602e-211,1.601424199412284e-208
LINC02397,30.948408,8.14237,2.669049174389579e-210,4.8098319237249745e-208
MT-CO2,30.925138,0.6340995,5.486820365390278e-210,9.812193946564736e-208
CIITA,30.87584,5.941669,2.5212802423088443e-209,4.47469941186131e-207
CD72,30.661491,5.763988,1.857357541403962e-206,3.271602640787265e-204
P2RX5,30.34939,4.4957356,2.5595318510986812e-202,4.3138239335027915e-200
PLEKHA2,29.718199,2.5872376,4.468914679322093e-194,7.27036556892213e-192
IGLC1,29.63888,5.07486,4.717683460287371e-193,7.569943179736455e-191
STRBP,29.571266,3.3034112,3.499878037531696e-192,5.502794817802352e-190
BLK,29.444239,6.687603,1.4919853187656203e-190,2.299522372547512e-188
IRF8,29.273222,4.6470356,2.274203815268754e-188,3.4822073712615097e-186
LAT2,29.170958,3.9281352,4.530655401819114e-187,6.803824621693357e-185
GAPT,28.930628,6.7512207,4.919406697014947e-184,7.340569470762367e-182
CD83,28.4615,4.389823,3.511532475119773e-178,5.141541955914432e-176
RCSD1,28.344044,1.6604985,9.911344420636792e-177,1.4332905292731983e-174
PDLIM1,28.221844,4.1450706,3.1551818932117784e-175,4.534751301366401e-173
MT-CO1,27.94502,0.61540264,7.577822267693784e-172,1.0694315799112185e-169
SYK,27.8466,4.378132,1.1842884828544586e-170,1.6613369034629584e-168
CTSZ,27.512974,2.683234,1.2281079388564034e-166,1.692404981387586e-164
BASP1,27.244091,6.580603,1.9525437770192377e-163,2.6749849745163556e-161
CYB561A3,27.217182,3.130757,4.0669410796813213e-163,5.539315620563623e-161
MT-ND1,27.212242,0.6174764,4.6530094842055595e-163,6.300927929854546e-161
CD40,27.157928,5.507352,2.0410391119876734e-162,2.7323099015162986e-160
MZB1,26.982084,5.875092,2.3984633617972676e-160,3.174508541063536e-158
FCRLA,26.950666,7.6171393,5.602615052351234e-160,7.373733866934402e-158
BTK,26.603405,6.9400826,6.199326167146686e-156,8.068423006541412e-154
HERPUD1,26.007175,1.569805,4.10815204215666e-149,5.202252859005626e-147
PCDH9,25.86143,6.6266804,1.8097551414533433e-147,2.2794157902595414e-145
IL4R,25.717447,2.9038188,7.458788824494788e-146,9.344227047670555e-144
ORAI2,25.611618,2.7419653,1.1324718169360528e-144,1.4037257807069263e-142
LYL1,25.543493,3.5122728,6.485123630983851e-144,7.954292738380034e-142
FAM30A,25.297344,6.232159,3.4166170105625535e-141,4.104671113151228e-139
EBF1,25.282045,7.6276307,5.033715658325882e-141,6.016574322836757e-139
MTPN,25.016277,1.227473,4.0665272140609895e-138,4.811441062818526e-136
SMIM14,24.838913,3.1085978,3.4073877524860566e-136,3.971386710322927e-134
BTG1,24.82211,0.4378558,5.1751114510911265e-136,6.001848315084743e-134
TPD52,24.815865,2.5331943,6.044208584148437e-136,6.975254901519479e-134
PHACTR1,24.52566,5.4790845,7.8668919723734e-133,8.946489234795712e-131
ARPC3,24.350649,0.6921144,5.706386637081154e-131,6.39634065774642e-129
HHEX,24.189384,6.1421814,2.8775226225405967e-129,3.1648695999182422e-127
CTSS,24.109985,1.41055,1.964172519141779e-128,2.1402171909736955e-126
MT-ATP6,24.086811,0.49950358,3.43665773336681e-128,3.7273416999807527e-126
RPS11,23.845879,0.09463855,1.1174016576780498e-125,1.1844963182997137e-123
TSPAN13,23.731611,6.681784,1.7014925562622872e-124,1.7715940495802933e-122
PRKCB,23.642258,1.5749629,1.4178784926621473e-123,1.4632880813918999e-121
PTPN6,23.52937,1.5136893,2.0420322493185183e-122,2.0799430219471707e-120
OAZ1,23.41197,0.48423728,3.227688866788035e-121,3.2452818490233175e-119
BACH2,23.100973,2.556989,4.526848768736994e-118,4.474704055071796e-116
MT-CO3,23.098621,0.5088596,4.7800461439998805e-118,4.7051319754405547e-116
ZCCHC7,23.059711,1.9711195,1.1753407373954888e-117,1.1520798098311347e-115
IGLC3,22.999647,4.206187,4.699341065229309e-117,4.530512886219218e-115
CD19,22.59613,7.280717,4.730519982376829e-113,4.432875665085679e-111
PARP1,22.571358,1.3369819,8.286397703404081e-113,7.734081234966031e-111
POU2AF1,22.403963,6.224578,3.600772119567041e-111,3.3210743482321677e-109
PLEKHF2,22.310644,2.3195832,2.912708671750661e-110,2.6654697676993255e-108
APLP2,22.304142,2.1898956,3.36836988588357e-110,3.0704591951982255e-108
SNX29,22.236317,3.196136,1.5301143086221388e-109,1.3786918426188787e-107
SNHG7,22.232298,1.1547296,1.6734554728350341e-109,1.4963374565689443e-107
QRSL1,22.075342,3.068354,5.4549928010467316e-108,4.804290088350443e-106
ADAM28,21.998579,5.8765373,2.971402887305246e-107,2.6071556344906365e-105
MARCKS,21.77301,6.5259247,4.182427434083655e-105,3.6155619003054536e-103
SP100,21.719328,1.1816584,1.3473814144970837e-104,1.1604817793170286e-102
JUND,21.69519,0.4297327,2.277835096878843e-104,1.947549007831411e-102
CDCA7L,21.566591,3.820926,3.69978257756177e-103,3.11779879296905e-101
CYBA,21.492674,0.5646705,1.8230394342840964e-102,1.5307650475617753e-100
MBD4,21.453905,1.7589906,4.198725572655697e-102,3.500481992548221e-100
CYBB,21.436514,5.147571,6.101777085213986e-102,5.069018857280428e-100
MTSS1,21.436014,3.1396747,6.167644160586433e-102,5.105632500002063e-100
NCOA3,21.34764,1.8687415,4.1013710186998296e-101,3.3595391208070247e-99
FCHSD2,21.337038,2.9144735,5.145192873647021e-101,4.199875729997518e-99
BLNK,21.254826,7.718185,2.9746530552581887e-100,2.403006797432193e-98
MIS18BP1,21.229198,1.9270227,5.132948052203359e-100,4.1181360965400034e-98
REL,21.060549,1.685269,1.8304328255763647e-98,1.4487010069181586e-96
HLA-DOB,21.02468,7.862126,3.900220191095129e-98,3.0764464113395818e-96
H3F3A,20.845097,0.33614284,1.688695037145506e-96,1.3143208848906236e-94
CXCR4,20.794102,0.47744182,4.894346723043324e-96,3.784153817846071e-94
GGA2,20.62585,2.4023087,1.6087743951404138e-94,1.2197008982185913e-92
ITPR1,20.618853,2.2250395,1.8591265731657936e-94,1.4049599428888726e-92
LY86,20.58985,5.3997984,3.384177141157463e-94,2.541061470701791e-92
DAPP1,20.569326,3.1366687,5.167862217856836e-94,3.867971507275786e-92
LIMD2,20.553091,0.7320967,7.221505590189327e-94,5.3707368717893765e-92
MDM4,20.23172,1.4196216,5.147607897979119e-91,3.780345148149116e-89
POLD4,20.12406,1.2248988,4.5431373297865685e-90,3.3053440442518615e-88
CCDC50,20.089758,3.517723,9.070368853054826e-90,6.578685174009765e-88
MTRNR2L12,19.958817,0.5899632,1.2565062462017484e-88,8.97444263102694e-87
WASHC4,19.875084,2.1743226,6.687472006452883e-88,4.718897792023244e-86
MT-ND4,19.850836,0.4437645,1.0838274261886531e-87,7.534369469828362e-86
KIAA0040,19.738914,1.7015231,9.990188584462251e-87,6.843279180356643e-85
RUBCNL,19.73793,8.045488,1.018658586118973e-86,6.957467841693638e-85
TLE1,19.69145,2.7317388,2.5527831266753774e-86,1.7334507335833063e-84
C16orf74,19.673426,3.1969492,3.6431660513497995e-86,2.4667182394500504e-84
PARP14,19.645279,1.8642019,6.344658305701317e-86,4.283467150653163e-84
FCMR,19.298609,1.1145681,5.517575040149458e-83,3.6411332525515876e-81
MT-ND4L,19.26057,0.7101352,1.1510215079720028e-82,7.574432827882052e-81
TRIM38,19.256088,1.7430248,1.2550856507050084e-82,8.236104072567572e-81
COBLL1,19.125023,7.525301,1.563069142454527e-81,1.0115475359193979e-79
SKAP2,18.848085,2.2987316,3.046747229652147e-79,1.9238853732900497e-77
GABPB1-AS1,18.847637,1.2769034,3.072607547007362e-79,1.9349993818210074e-77
ARHGAP24,18.826267,7.2774715,4.600667843054006e-79,2.889540095421614e-77
PALM2-AKAP2,18.696638,3.3410637,5.272683333430617e-78,3.2851902247946557e-76
TMEM154,18.663773,2.172478,9.759282385570768e-78,6.064475025113166e-76
FCRL2,18.646263,6.8801055,1.3541696714858785e-77,8.392627749708909e-76
TMEM156,18.58563,2.1722717,4.2003234828111085e-77,2.5759418385292103e-75
SPI1,18.55409,4.8125362,7.55745560140877e-77,4.61063834307821e-75
FCGR2B,18.553213,5.3082924,7.682020181536324e-77,4.674459397216921e-75
RB1,18.492434,2.1476204,2.3759009051163877e-76,1.4419748835275028e-74
IFT57,18.374723,2.1471875,2.0937082981185268e-75,1.2641573273201734e-73
SEL1L3,18.369947,2.6019003,2.286355807272976e-75,1.3769269279430337e-73
SYPL1,18.367716,1.4793369,2.3822713411200104e-75,1.4310120694466278e-73
JCHAIN,18.313534,4.3946643,6.454233521372504e-75,3.837647936680042e-73
AC025164.1,18.267673,1.3682747,1.4969779360552315e-74,8.878405596953395e-73
CHD9,18.143963,1.7242655,1.433172531005144e-73,8.414770146330202e-72
SNX3,18.054005,1.1106119,7.337269869351229e-73,4.275876149982369e-71
ADK,18.042099,2.2797472,9.102006576572927e-73,5.2911341952698254e-71
DNAJC10,18.024448,2.0736394,1.2525479952177897e-72,7.263228189100781e-71
MT-ND2,17.96602,0.42896748,3.5960584416228996e-72,2.0648250272524427e-70
SNX22,17.915178,5.697445,8.978124250328042e-72,5.1300126051813425e-70
SYNGR2,17.892067,1.9330226,1.3597043473246223e-71,7.750314779750347e-70
SMARCB1,17.787216,1.7090547,8.87834012324107e-71,4.999828703537706e-69
TCF3,17.601635,2.2464936,2.393149393681076e-69,1.3285381717006296e-67
SOX4,17.520437,3.1199954,1.0005369779538028e-68,5.5282027788971075e-67
WDFY4,17.374939,6.5589237,1.2774036067254147e-67,7.024820256985045e-66
PMAIP1,17.352686,1.5794827,1.8823394480373547e-67,1.0303169684385771e-65
SEC62,17.290764,0.71790576,5.5215343981270684e-67,3.015221126921278e-65
UCP2,17.277481,0.9240708,6.951939321377925e-67,3.787513546091178e-65
EZR,17.26106,1.116799,9.239776551574867e-67,5.022279472708688e-65
PNISR,17.255758,0.65040684,1.0128419385707997e-66,5.492557429374566e-65
CCNG2,17.245535,2.5346544,1.2088699794617537e-66,6.540461202967784e-65
CCDC191,17.100721,4.599791,1.4657647417040068e-65,7.857773593569741e-64
ACBD3,17.03283,1.5883551,4.688157475049297e-65,2.4961242083631793e-63
NFKBID,17.010733,3.458251,6.837645302976492e-65,3.6323246374791446e-63
PKIG,17.00431,4.360215,7.629854664572543e-65,4.0439955933697053e-63
TMEM243,17.004173,1.0620275,7.647682916350583e-65,4.0442949815202055e-63
TSPAN3,16.980745,2.0165682,1.1402766174973546e-64,6.00297984676641e-63
ARID1B,16.974228,1.130171,1.274198361067731e-64,6.69296973200308e-63
HDAC9,16.899805,3.9634614,4.513903118351946e-64,2.36042875789355e-62
IFI30,16.851068,3.3364434,1.0303657880772848e-63,5.3760310283488976e-62
PPP1R14A,16.597727,7.0306273,7.23812645507794e-62,3.6942829730525257e-60
PNOC,16.592886,8.457691,7.845771873595379e-62,3.995715167015629e-60
TLR10,16.590456,8.41985,8.169824271049524e-62,4.1517239305396355e-60
CD52,16.558132,0.26984802,1.3986898966143979e-61,7.07712920258866e-60
ZEB2,16.524515,1.4009447,2.443993137857081e-61,1.2312995105500609e-59
PIK3AP1,16.514465,3.1417263,2.8870419289208467e-61,1.4513890830220744e-59
ADAM19,16.453287,3.798995,7.943845757595849e-61,3.942806664474533e-59
SP110,16.437946,1.1169399,1.0232976852614209e-60,5.068244159116133e-59
DGKD,16.367823,1.6398749,3.246252397403139e-60,1.597688128444608e-58
AL139020.1,16.367428,7.523965,3.267363433707108e-60,1.604706984516906e-58
CAMK2D,16.159256,1.9328817,9.77339840841782e-59,4.6918320597132025e-57
PTMA,16.103811,0.14508326,2.398656733273151e-58,1.1444670323908372e-56
GTF2I,15.724589,1.1260537,1.0261366398583954e-55,4.8174956035997256e-54
TCOF1,15.510452,1.7886004,2.9479493404673794e-54,1.370270023792248e-52
CTSH,15.446305,2.9476619,7.989368403395687e-54,3.6843884564242274e-52
CD180,15.414124,8.319935,1.3154254750865734e-53,6.030620862006489e-52
RHBDF2,15.410078,2.65952,1.4004211519963217e-53,6.4077473296519195e-52
OSBPL10,15.377902,4.6364994,2.3028886715645285e-53,1.0496064768237783e-51
EBLN3P,15.368864,1.2018889,2.647715695229086e-53,1.2044278755753747e-51
FGD2,15.22344,6.0929008,2.4718405002811303e-52,1.1051108282459168e-50
PLEKHO1,15.218984,1.3609214,2.6460808893963412e-52,1.180756895159773e-50
IKZF3,15.208367,0.937356,3.1120747323698713e-52,1.383426465943624e-50
PXK,15.200365,2.4967544,3.516533812541344e-52,1.5602620762576906e-50
IFNGR2,15.104006,2.4397984,1.5238792282687557e-51,6.723148527429782e-50
MEF2A,14.925264,1.6905577,2.2573975849049445e-50,9.829749669436456e-49
PRDM2,14.910597,1.0804812,2.8122846037071643e-50,1.2200628039082914e-48
GRB2,14.873901,0.87757,4.869125919606618e-50,2.1045943342919603e-48
NCF4,14.82802,3.151647,9.653804529830644e-50,4.1497188756026145e-48
LSM10,14.792183,1.1443661,1.6453045994764209e-49,7.046535804741155e-48
HBB,14.712179,0.34436193,5.384513368287501e-49,2.2976866061725185e-47
CD55,14.666388,1.0173395,1.0583116955036642e-48,4.499649381227648e-47
UVRAG,14.609027,2.115324,2.4600502899534386e-48,1.0384071737430488e-46
METTL7A,14.571106,3.6451933,4.288889787728845e-48,1.8071190837612168e-46
TTC7A,14.532959,2.7004206,7.491325296147983e-48,3.1395219626629484e-46
CD81,14.449447,0.7798607,2.5270898096976656e-47,1.0552964879106454e-45
ARHGAP17,14.388861,2.3202467,6.078875125343433e-47,2.5249965879684503e-45
APPL1,14.369805,1.3084916,8.005540285493133e-47,3.3193945534203116e-45
CAPG,14.36545,2.2735891,8.5251509280986435e-47,3.5285991306107226e-45
UBE2J1,14.336636,2.1372209,1.2916753041644748e-46,5.3368743122859175e-45
IRF4,14.318201,3.5432487,1.6842701851886949e-46,6.946724934580203e-45
RAB30,14.3087,3.0497625,1.9309002654844385e-46,7.949947367223892e-45
ALOX5,14.298772,5.24784,2.22704006695633e-46,9.153134675190516e-45
SSBP2,14.259084,1.845095,3.9358981663255576e-46,1.6119980129809237e-44
SH3BP5,14.258737,1.0354518,3.955528652491917e-46,1.6172106412203863e-44
SMAP2,14.255679,0.7315082,4.132594846141636e-46,1.6866602693477373e-44
LYST,14.245268,1.4973792,4.797031506504566e-46,1.9544357757023036e-44
BOD1L1,14.192022,0.8922051,1.0265571697277592e-45,4.153567325597965e-44
SYVN1,14.163286,2.8201694,1.545918961989811e-45,6.201411562077963e-44
GUCD1,14.1577835,2.4507437,1.6718460133753194e-45,6.695100265870702e-44
DRAM2,14.124882,1.6018074,2.6684877200979667e-45,1.0668031027087894e-43
MT-CYB,14.119173,0.361337,2.893662013981447e-45,1.1528880952643428e-43
COL19A1,14.107436,8.724136,3.417800850984257e-45,1.3594027255688999e-43
HLA-DOA,14.070641,4.2475014,5.75455955140329e-45,2.2657490186676453e-43
FAM3C,14.058193,1.9884031,6.861561070221306e-45,2.6880567088975674e-43
UNC93B1,14.053721,2.8734276,7.308994725516048e-45,2.8585612593433133e-43
DDX17,14.045325,0.7244228,8.228999084231182e-45,3.213012692438065e-43
ID3,14.045141,1.5765114,8.25041558920094e-45,3.216014742233119e-43
SP140,14.033162,1.7307532,9.769707973515154e-45,3.801909446769759e-43
MICAL3,14.012775,3.2150567,1.302149880236215e-44,5.0505737159426834e-43
MAP3K1,14.011555,1.453011,1.3247256334739266e-44,5.129644200891517e-43
JMJD1C,13.969951,1.0545616,2.377898462649171e-44,9.132299554833136e-43
IQSEC1,13.966915,1.6136279,2.4814288133729604e-44,9.514309789016096e-43
IFI16,13.898886,0.8520577,6.433493410035046e-44,2.450690245803106e-42
PPM1K,13.844682,1.1782514,1.3698529656535006e-43,5.201222921615001e-42
BLOC1S2,13.79908,1.2303936,2.581254563048677e-43,9.706428675528308e-42
STAP1,13.793935,4.2060094,2.7721711917522028e-43,1.0407636940573534e-41
CPNE5,13.788468,6.097846,2.990402100498714e-43,1.120898400134134e-41
CHPT1,13.7419615,1.9522843,5.691251125902019e-43,2.1264583752233908e-41
CD38,13.686858,2.809561,1.2165655912076651e-42,4.5238860484479317e-41
BTLA,13.654362,2.9492118,1.9014905041247977e-42,7.048452221539816e-41
RPL22L1,13.64002,0.8286778,2.3149724222163646e-42,8.567592248856677e-41
FCRL5,13.616266,6.9143124,3.2053955326127565e-42,1.184429040102824e-40
TAPT1,13.613479,2.3658743,3.330094477869251e-42,1.2266371593245747e-40
MKNK2,13.575763,0.9628603,5.576040497434784e-42,2.0474906071066564e-40
ATP2B1,13.504534,1.3331041,1.4704077095328772e-41,5.373984619536149e-40
ARGLU1,13.467518,0.5147122,2.4289432001203275e-41,8.849588234715228e-40
ERP29,13.426735,0.5139282,4.2159335868554605e-41,1.5312662967327576e-39
AC108863.2,13.386168,2.52904,7.284350061961588e-41,2.637565207134067e-39
RERE,13.350245,1.4359539,1.1805876530027535e-40,4.261575800754315e-39
FOXP1,13.290712,0.55539936,2.620702437448004e-40,9.416441104615703e-39
RASGRP3,13.25235,4.6312304,4.372944841197235e-40,1.5592843043337538e-38
PAWR,13.234457,4.446991,5.5496289238096914e-40,1.972855186617445e-38
PDE4B,13.165912,1.1894794,1.3786291188068271e-39,4.878722713940716e-38
CDC40,12.966542,1.049536,1.8938258826184747e-38,6.612020708212073e-37
GRK3,12.901711,4.5052824,4.4021128804599934e-38,1.530093448821013e-36
ELOVL5,12.89856,1.472898,4.585863971361161e-38,1.5916005223270802e-36
OTUD1,12.88687,1.7200252,5.336600489506982e-38,1.8385373480541185e-36
LAMTOR5,12.876627,0.7787083,6.094116652353896e-38,2.0933558770483098e-36
DDAH2,12.835066,2.033915,1.043148873121273e-37,3.578015907849497e-36
SCPEP1,12.824112,2.1738267,1.2015524188444554e-37,4.1093092724480375e-36
RBM6,12.715547,1.0841131,4.84707802081153e-37,1.633848874727363e-35
USP6NL,12.6754,4.07168,8.094448885843934e-37,2.7167428946800265e-35
RNASEH2B,12.667714,1.0405647,8.927843125662658e-37,2.98789401292713e-35
HIST1H1C,12.66652,1.1135521,9.064770715995785e-37,3.029392062248691e-35
TSPAN33,12.657644,3.4545362,1.0149934025847394e-36,3.387215162728303e-35
NEIL1,12.593418,2.9718683,2.2951391226938273e-36,7.64839604940943e-35
SHOC2,12.593113,1.2498025,2.3040306755257235e-36,7.667120260730274e-35
AC004687.1,12.5350485,1.1359832,4.8007019075432186e-36,1.5930034502551697e-34
SELENOF,12.532365,0.73428726,4.9659403818677816e-36,1.645503328515085e-34
LSM7,12.491519,0.5476278,8.305281679378605e-36,2.74425717775462e-34
PAPOLA,12.483853,0.691972,9.145105913949282e-36,3.0132545182291115e-34
MPEG1,12.404286,4.648147,2.477088220533011e-35,8.127555426110202e-34
ERGIC1,12.341266,1.6562884,5.429567107327106e-35,1.7789995611657638e-33
TP53INP1,12.323826,2.6556475,6.741864589470666e-35,2.2058891304124204e-33
VAV3,12.321032,1.7920481,6.979546685997477e-35,2.2804719694959956e-33
RABEP2,12.309631,2.259729,8.038954599569871e-35,2.6229608552106316e-33
LMBRD1,12.30416,1.178262,8.60268178953338e-35,2.8029906298108274e-33
ATP2A3,12.282385,1.2660699,1.1262858570275486e-34,3.6595698713709266e-33
LUC7L3,12.230785,0.7395486,2.1287091259876114e-34,6.89754753727687e-33
TBC1D1,12.226134,1.591132,2.2541252969123352e-34,7.283778390450383e-33
PHKB,12.217417,1.354744,2.5093115969164175e-34,8.097195975338969e-33
LTA4H,12.165181,1.3624668,4.763887479819769e-34,1.528816328626544e-32
SMCHD1,12.15025,0.6526752,5.719025293084019e-34,1.8328263411912358e-32
CAMK1D,12.124487,1.8646255,7.83489704759675e-34,2.504067300600942e-32
PPP3CA,12.109741,1.454299,9.379004929139486e-34,2.989414264965316e-32
HMGB1,12.097493,0.2663679,1.0888548987972302e-33,3.465842895940586e-32
PMEPA1,12.060751,3.7191775,1.7022425613800643e-33,5.403582179600375e-32
RIPOR2,12.055121,0.49209127,1.822636633414416e-33,5.777930772801018e-32
GDI2,12.028979,0.92560863,2.5023402903895275e-33,7.900583016570816e-32
SLC9A7,11.944694,4.4960084,6.920483949571803e-33,2.1674622658638856e-31
TAF1D,11.936534,0.67806363,7.633850558723225e-33,2.384509560522787e-31
PLEKHG1,11.902916,4.9317045,1.1428232237869776e-32,3.5507851012808386e-31
HBA1,11.896771,0.4218335,1.2301465951658406e-32,3.8119899847817655e-31
SMC6,11.719046,1.8858232,1.0181267831838716e-31,3.121944522205309e-30
TCL6,11.709134,6.207646,1.1444278525413492e-31,3.500066749541278e-30
ARID5B,11.643098,0.94255,2.4881032762318978e-31,7.560155052177001e-30
TRA2B,11.6313925,0.58596313,2.854035111354388e-31,8.66081354322529e-30
NT5C,11.535464,0.95938617,8.741460977181476e-31,2.6356011108420904e-29
PLD4,11.504529,6.4073973,1.2517015030985338e-30,3.7642633007816885e-29
DBNL,11.445991,0.9149434,2.4627495878582315e-30,7.359035024841172e-29
MTRNR2L8,11.425321,0.6551715,3.1250125905236412e-30,9.326072606139788e-29
MYCBP2,11.323242,0.68134606,1.0067875521596768e-29,2.9893551311083335e-28
RNASE6,11.322521,4.7095995,1.015101204831897e-29,3.010224800708462e-28
CD82,11.24479,1.7824569,2.456802561419167e-29,7.248805240096577e-28
TAGLN2,11.211546,0.60578305,3.5788668858410606e-29,1.0519713241480367e-27
LTB,11.174609,0.31053,5.428903699062363e-29,1.5897865869741746e-27
ZFP36L1,11.157668,0.7144258,6.569179159949059e-29,1.9213003767806067e-27
MARCKSL1,11.154212,0.6933716,6.829516993900185e-29,1.9949513044401454e-27
NSD3,11.139386,0.62606835,8.067303234217679e-29,2.353582974695113e-27
CDK14,11.135589,6.229148,8.418737405053444e-29,2.453056731196356e-27
ATP10D,11.109899,2.5466053,1.1228657387657538e-28,3.26369425087659e-27
RGS2,11.071973,1.5559365,1.715815843665089e-28,4.9502977548697096e-27
ADD1,11.066854,0.8892148,1.8166739554942217e-28,5.2308609231767546e-27
FAM214A,11.066812,1.5180471,1.8175271231766247e-28,5.2308609231767546e-27
RASGRP2,11.058357,0.7295735,1.9972202537967148e-28,5.733931235992112e-27
UBE2E2,11.035445,3.4390106,2.5777037827097607e-28,7.382379769870607e-27
EVI2B,11.032063,0.6135517,2.676542259846549e-28,7.65608736525337e-27
CCDC32,11.003806,1.505189,3.6633566474409094e-28,1.0453283334908428e-26
SAT1,10.968831,0.47733492,5.3965415956372415e-28,1.5268693232004064e-26
DMXL1,10.954474,1.5941832,6.32446594280091e-28,1.7872528786730628e-26
HSH2D,10.926622,1.7981378,8.598965518390702e-28,2.41544322780982e-26
CD9,10.921425,3.6373842,9.105615985607983e-28,2.548593377477159e-26
AL050309.1,10.894773,2.6842988,1.2207111058915203e-27,3.396389439159222e-26
AC245060.5,10.828874,2.667631,2.5122632656021083e-27,6.932248707097832e-26
E2F5,10.823971,4.2170935,2.6504087868560056e-27,7.304838429373605e-26
SPINT2,10.815747,1.2308663,2.899191687360611e-27,7.981123814312225e-26
NGLY1,10.80714,1.1145239,3.1844146941107353e-27,8.756019136024906e-26
LGALS9,10.796355,2.1836498,3.5813765473233535e-27,9.835979879735545e-26
SESTD1,10.790763,4.1406283,3.806152506088985e-27,1.0441069644045275e-25
P2RY10,10.783419,1.0750405,4.122716225025801e-27,1.1283045911644795e-25
MCTP2,10.77728,1.7441264,4.407284923533135e-27,1.201972804465783e-25
CYB5R4,10.776043,1.6147962,4.466902201678939e-27,1.2168153241713083e-25
ZNF92,10.762675,1.3461511,5.164880847268678e-27,1.4053154890704219e-25
ODC1,10.729847,0.8082862,7.371853810565626e-27,2.0034851417647439e-25
PRKCE,10.662995,3.5084252,1.516336318763893e-26,4.08312769421629e-25
TRIM22,10.649059,0.85120237,1.7613640354409247e-26,4.732049914939741e-25
RNF141,10.621029,2.239934,2.3792481230877365e-26,6.370130946237304e-25
BTN2A2,10.614026,2.7686841,2.5645434250681108e-26,6.858397125464685e-25
PARP15,10.613905,1.5991999,2.567867996703835e-26,6.859457646383208e-25
LRMP,10.611812,1.5925673,2.626078895503438e-26,6.998993206479982e-25
DUSP22,10.520318,1.7256672,6.963824596265044e-26,1.8496770840895825e-24
TRAK1,10.517808,2.820827,7.151775680597153e-26,1.8953014577980713e-24
TRIO,10.500468,4.07874,8.595270831697681e-26,2.2701399072624758e-24
VPS13C,10.492735,0.7447592,9.328860674534096e-26,2.458348920385942e-24
NUP88,10.485611,1.6124464,1.0059306865960219e-25,2.6478582241443824e-24
RHOQ,10.475258,2.5861087,1.1223154739324565e-25,2.9508961400466506e-24
