run_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_layout	fastq_ftp	fastq_md5	fastq_bytes
SRR26039786	SAMN37359250	SRS18863635	GSM7776152	Leaves, 12d post transition, ZT4, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/086/SRR26039786/SRR26039786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/086/SRR26039786/SRR26039786_2.fastq.gz	3cf436da3a038759717f83b43617e108;8245da03d729224921cbf0c4793820b7	3090294421;3090887617
SRR26039790	SAMN37359254	SRS18863631	GSM7776148	Leaves, 12d post transition, ZT20, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/090/SRR26039790/SRR26039790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/090/SRR26039790/SRR26039790_2.fastq.gz	b61da357beeb78693c57d8740ae5e4ca;5243fe3dfa375c29d0096dc3460f148f	2082061745;2080176736
SRR26039795	SAMN37359259	SRS18863626	GSM7776143	Leaves, 12d post transition, ZT16, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/095/SRR26039795/SRR26039795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/095/SRR26039795/SRR26039795_2.fastq.gz	4f4912ed36fa723a27e6dfe7e0e12878;1f1328353b5f27ce156f12e0f44e3014	6966672130;7212635944
SRR26039797	SAMN37359261	SRS18863624	GSM7776141	Leaves, 12d post transition, ZT16, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/097/SRR26039797/SRR26039797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/097/SRR26039797/SRR26039797_2.fastq.gz	cceb1e1ccadd6f91a1de17d73bc5cb8a;c149ad1c9bc416b138b5fe05edd8f44a	2155480579;2157814347
SRR26039802	SAMN37359282	SRS18863619	GSM7776120	Leaves, 7d post transition, ZT16, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/002/SRR26039802/SRR26039802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/002/SRR26039802/SRR26039802_2.fastq.gz	0a7b7132b8b084cf16a9ce84a414b9c5;40b7941ac7cec5cee6e7be6edec4d258	2902195120;3040325780
SRR26039803	SAMN37359283	SRS18863618	GSM7776119	Leaves, 7d post transition, ZT12, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/003/SRR26039803/SRR26039803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/003/SRR26039803/SRR26039803_2.fastq.gz	337e6ef33bf76ac632e1094f14272059;953f7a3f54ddf6836491a32eed8c0c34	3044796278;3232086116
SRR26039804	SAMN37359284	SRS18863617	GSM7776118	Leaves, 7d post transition, ZT12, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/004/SRR26039804/SRR26039804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/004/SRR26039804/SRR26039804_2.fastq.gz	923ef0259dddffc4070d70c6ed8b7a28;540d840ca74052e5e399a1de0446aa84	2487477181;2575759029
SRR26039805	SAMN37359285	SRS18863616	GSM7776117	Leaves, 7d post transition, ZT12, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/005/SRR26039805/SRR26039805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/005/SRR26039805/SRR26039805_2.fastq.gz	5de5ab20ea791a1fb8d094ffc616f045;6a57b4d13d47415a0a82d19197d7d5dd	3249329179;3369276747
SRR26039810	SAMN37359290	SRS18863611	GSM7776112	Leaves, 2d post transition, ZT8, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/010/SRR26039810/SRR26039810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/010/SRR26039810/SRR26039810_2.fastq.gz	6f18a330c6f835b864ef90138d4c710c;ea576ac8fafd66837f04728fcdb694d0	2838444728;2945205725
SRR26039819	SAMN37359299	SRS18863602	GSM7776103	Leaves, 2d post transition, ZT1, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/019/SRR26039819/SRR26039819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/019/SRR26039819/SRR26039819_2.fastq.gz	c97f5217423d66ae563fb1e721748b74;399a50941d084bca29c39ccb3ea64ff0	2757987329;2850052064
