ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0005985	sucrose metabolic process	7/809	24/11616	0.291666666666667	4.18788627935723	4.27720974165968	0.000938423974713189	0.0151834890290673	0.0128637893162932	AT3G06500/AT3G22200/AT1G43670/AT5G40390/AT1G69830/AT4G09510/AT4G02280	7
GO:0006817	phosphate ion transport	7/809	24/11616	0.291666666666667	4.18788627935723	4.27720974165968	0.000938423974713189	0.0151834890290673	0.0128637893162932	AT5G61810/AT1G63010/AT1G80050/AT5G51050/AT5G03545/AT3G15990/AT1G26730	7
GO:0001666	response to hypoxia	23/809	164/11616	0.140243902439024	2.01368747927282	3.57698096262923	0.000987598199054987	0.0156913396133245	0.0132940516168444	AT5G20150/AT1G78070/AT1G13360/AT3G60520/AT2G41090/AT3G15210/AT1G67360/AT1G17290/AT5G47060/AT2G36220/AT3G50440/AT1G72920/AT1G76650/AT5G63130/AT2G29090/AT1G74940/AT3G22550/AT5G54470/AT1G54050/AT5G35735/AT2G18670/AT1G07150/AT1G72900	23
GO:0006979	response to oxidative stress	35/809	290/11616	0.120689655172414	1.73291846042368	3.45818062364263	0.000991605489453146	0.0156913396133245	0.0132940516168444	AT2G39800/AT5G52310/AT5G28030/AT1G19570/AT1G18150/AT4G11600/AT2G46370/AT3G12490/AT1G20620/AT2G22080/AT3G02860/AT3G08640/AT1G22770/AT5G01410/AT3G17790/AT2G41090/AT3G17800/AT5G57345/AT1G56650/AT1G02930/AT4G32770/AT5G24770/AT4G04840/AT5G40390/AT4G31870/AT1G20630/AT1G35720/AT5G01600/AT1G09350/AT1G80130/AT3G03190/AT2G19810/AT5G07460/AT1G54050/AT2G31870	35
GO:0016036	cellular response to phosphate starvation	12/809	62/11616	0.193548387096774	2.77905817616332	3.84282940536005	0.00101786347641225	0.0159317761525395	0.0134977547959016	AT5G20150/AT5G38480/AT1G20620/AT2G16430/AT2G22240/AT1G20630/AT3G03520/AT3G05630/AT5G03545/AT5G35735/AT1G26730/AT2G11810	12
GO:0031669	cellular response to nutrient levels	20/809	136/11616	0.147058823529412	2.11153930051625	3.56742313878591	0.0011434793786264	0.0177054871529249	0.015000482171228	AT5G20150/AT5G38480/AT1G20620/AT3G16690/AT5G60890/AT2G16430/AT5G07690/AT3G55880/AT5G63320/AT2G22240/AT5G61420/AT1G20630/AT1G21400/AT1G64660/AT3G03520/AT3G05630/AT5G03545/AT5G35735/AT1G26730/AT2G11810	20
GO:0008202	steroid metabolic process	10/809	47/11616	0.212765957446809	3.05499303053415	3.86227029457563	0.00123749902936886	0.0185866361247554	0.0157470111612511	AT5G24155/AT4G34650/AT1G43620/AT2G29390/AT5G24160/AT1G07420/AT3G44970/AT1G78490/AT5G14700/AT2G22830	10
GO:0071215	cellular response to abscisic acid stimulus	24/809	177/11616	0.135593220338983	1.94691081267939	3.47322542138729	0.00125060674118993	0.0185866361247554	0.0157470111612511	AT1G52400/AT4G26080/AT5G65310/AT2G22430/AT5G66880/AT4G36830/AT3G27690/AT1G70810/AT2G46680/AT5G57050/AT2G05070/AT1G51140/AT3G50500/AT3G11410/AT5G45830/AT1G65790/AT1G49720/AT5G46590/AT1G70800/AT5G01520/AT5G13170/AT1G24020/AT5G58670/AT5G10970	24
GO:0097306	cellular response to alcohol	24/809	177/11616	0.135593220338983	1.94691081267939	3.47322542138729	0.00125060674118993	0.0185866361247554	0.0157470111612511	AT1G52400/AT4G26080/AT5G65310/AT2G22430/AT5G66880/AT4G36830/AT3G27690/AT1G70810/AT2G46680/AT5G57050/AT2G05070/AT1G51140/AT3G50500/AT3G11410/AT5G45830/AT1G65790/AT1G49720/AT5G46590/AT1G70800/AT5G01520/AT5G13170/AT1G24020/AT5G58670/AT5G10970	24
GO:0042759	long-chain fatty acid biosynthetic process	8/809	32/11616	0.25	3.58961681087763	4.01340061202147	0.00125201646118144	0.0185866361247554	0.0157470111612511	AT3G25770/AT1G20510/AT1G17420/AT3G25760/AT1G19640/AT1G55020/AT5G42650/AT1G76690	8
GO:0009313	oligosaccharide catabolic process	5/809	13/11616	0.384615384615385	5.52248740135019	4.46370194630584	0.00129961278807475	0.0189034587356328	0.0160154303176889	AT2G40840/AT3G06500/AT1G69830/AT4G09510/AT5G64860	5
GO:0042770	signal transduction in response to DNA damage	5/809	13/11616	0.384615384615385	5.52248740135019	4.46370194630584	0.00129961278807475	0.0189034587356328	0.0160154303176889	AT3G02860/AT5G66130/AT4G17760/AT5G52950/AT1G52530	5
